price,positive_ratings,negative_ratings,average_playtime,is_multiplayer,description_length,tag_count,addictive_tag_count,addiction_level
2.102913897864978,11.732342079876805,8.113726085970747,9.776392544732296,0,315,20,8,2
1.6074359097634274,8.107418811719974,6.452048954437226,5.627621113690637,0,334,20,7,1
1.6074359097634274,8.136518252115291,5.988961416889864,5.236441962829949,0,309,16,5,1
1.6074359097634274,7.149916836132109,5.5909869805108565,5.556828061699537,0,243,8,4,1
1.6074359097634274,8.566173813637858,5.666426688112432,6.437751649736401,0,312,20,4,2
1.6074359097634274,7.922623574217286,6.529418838262226,5.170483995038151,0,169,17,4,1
2.102913897864978,10.23120731201944,7.00397413672268,7.170888478512505,0,317,20,4,2
2.102913897864978,9.402694764470512,7.272398392570047,6.059123195581797,0,300,20,9,2
1.6074359097634274,8.248790733696413,6.042632833682381,5.891644211825771,0,259,18,3,2
2.102913897864978,11.125835495192266,7.791522819150732,6.539585955617669,0,339,20,4,2
2.102913897864978,11.24688746057632,8.159946655578548,8.830981510952498,1,77,20,9,2
0.0,8.234299635696253,6.960347729101308,5.25227342804663,0,313,20,4,1
2.102913897864978,9.258177701390343,7.099201743553092,7.213031659834869,1,57,20,6,2
1.6074359097634274,8.703008637464448,6.669498089857879,5.7430031878094825,0,212,14,6,2
0.0,8.6628507638386,6.928537818164665,3.8501476017100584,0,184,20,4,0
0.0,7.217443431696533,6.161207321695077,4.634728988229636,0,194,8,4,0
1.9154509415706047,8.975756630519417,6.249975242259483,5.641907070938114,0,284,20,3,1
2.102913897864978,10.855184037540836,6.985641817639208,5.666426688112432,0,229,20,3,1
1.9154509415706047,9.539859923169542,6.546785410760524,5.872117789475416,0,296,20,4,2
0.0,13.153629459278328,10.43520344719362,9.04735074348172,1,169,20,7,2
2.102913897864978,9.795456808322422,6.855408798609928,6.8001700683022,0,259,20,8,2
2.102913897864978,12.436350685744983,9.038246335337664,7.38770923908104,0,330,20,7,2
0.0,13.668758441146684,11.864145558225998,10.08351481277671,0,319,20,8,2
2.102913897864978,11.836609132462218,7.545389749611823,7.005789019253503,0,125,20,6,2
0.0,9.766292313358283,6.848005274576363,5.918893854273146,0,72,20,7,2
0.0,14.787956645227853,12.90498815723295,10.021048341275273,0,275,20,9,2
1.6074359097634274,7.354362330421477,5.4116460518550396,5.4510384535657,0,338,16,5,1
2.771963526845863,10.891373101232979,7.882314918980268,7.192182058713246,1,111,20,7,2
2.102913897864978,6.159095388491933,5.0689042022202315,5.209486152841421,0,272,8,2,1
2.0781907597781832,7.3796321526095525,5.030437921392435,4.189654742026425,0,258,18,2,0
2.102913897864978,7.629489916393995,5.84354441703136,4.394449154672439,0,296,17,2,0
2.102913897864978,5.910796644040527,4.330733340286331,4.804021044733257,0,275,6,2,0
1.790091412127358,6.19644412779452,5.030437921392435,2.302585092994046,0,225,13,3,0
2.4840729690394228,5.2574953720277815,4.454347296253507,3.58351893845611,0,319,8,2,0
1.3837912309017721,6.51025834052315,4.672828834461906,2.4849066497880004,0,300,17,2,0
0.0,9.621389858378247,7.013915474810528,5.480638923341991,0,257,20,3,1
1.6074359097634274,6.212606095751519,5.476463551931511,6.0063531596017325,1,249,7,2,2
2.0781907597781832,7.884952945759814,6.962243464266207,6.184148890937483,1,338,13,4,2
1.665818245870208,8.386400901166214,5.75890177387728,6.453624998892692,0,279,20,4,2
2.63834278867739,7.217443431696533,4.204692619390966,4.820281565605037,0,216,18,5,0
2.63834278867739,6.79346613258001,5.147494476813453,3.6109179126442243,0,55,15,4,0
1.3837912309017721,7.480992162869525,4.477336814478207,4.248495242049359,0,290,17,4,0
1.6074359097634274,8.217708406845306,5.552959584921617,4.836281906951478,0,279,20,4,0
1.6074359097634274,6.352629396319567,4.418840607796598,4.795790545596741,0,323,20,5,0
